Timestamp,Username,IP,Data
2024-07-03 09:57:08,Toshiba,192.168.100.200,"<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>ProximaLink Dashboard</title>
    <!-- Include Bootstrap CSS and other dependencies -->
    <link rel=""stylesheet"" href=""https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css"">
    <link rel=""stylesheet"" href=""{{ url_for('static', filename='styles.css') }}"">
</head>
<body>
    <!-- Header and main content -->
    <div class=""container-fluid"">
        <!-- Sidebar and main content layout -->
        <div class=""row"">
            <aside class=""col-md-2 bg-light py-3"">
                <!-- Sidebar content -->
                <!-- List of users or other navigation elements -->
            </aside>
            <main class=""col-md-10 py-3"">
                <!-- Main content area -->
                <!-- Display logs and other relevant information -->
                <section class=""user-section"">
                    <h2>User Name</h2>
                    <p>User information or summary</p>
                    <!-- Logs and other content -->
                    <div class=""row"">
                        <!-- Display screenshots as thumbnails -->
                        {% for screenshot in screenshots %}
                        <div class=""col-md-3"">
                            <a href=""#"" class=""screenshot-link"" data-image=""{{ screenshot.image_path }}"">
                                <img src=""{{ screenshot.thumbnail_path }}"" alt=""Screenshot Thumbnail"" class=""img-thumbnail"">
                            </a>
                        </div>
                        {% endfor %}
                    </div>
                </section>
            </main>
        </div>
    </div>
    <!-- Modal for displaying full-size screenshots -->
    <div class=""modal fade"" id=""screenshotModal"" tabindex=""-1"" role=""dialog"" aria-labelledby=""screenshotModalLabel"" aria-hidden=""true"">
        <div class=""modal-dialog modal-lg"" role=""document"">
            <div class=""modal-content"">
                <div class=""modal-header"">
                    <h5 class=""modal-title"" id=""screenshotModalLabel"">Screenshot</h5>
                    <button type=""button"" class=""close"" data-dismiss=""modal"" aria-label=""Close"">
                        <span aria-hidden=""true"">&times;</span>
                    </button>
                </div>
                <div class=""modal-body"">
                    <!-- Placeholder for screenshot image -->
                    <img src="""" alt=""Screenshot Image"" class=""img-fluid"" id=""screenshotImage"">
                </div>
            </div>
        </div>
    </div>
    <!-- JavaScript dependencies -->
    <script src=""https://code.jquery.com/jquery-3.5.1.slim.min.js""></script>
    <script src=""https://cdn.jsdelivr.net/npm/@popperjs/core@2.5.3/dist/umd/popper.min.js""></script>
    <script src=""https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js""></script>
    <!-- Custom JavaScript for handling screenshot modals -->
    <script>
        $(document).ready(function() {
            // Handle click on screenshot link
            $('.screenshot-link').click(function(e) {
                e.preventDefault();
                var imagePath = $(this).data('image');
                $('#screenshotImage').attr('src', imagePath);
                $('#screenshotModal').modal('show');
            });
        });
    </script>
</body>
</html>
"
2024-07-03 09:58:04,Toshiba,192.168.100.200,"User Name
User information or summary"
2024-07-03 09:59:34,Toshiba,192.168.100.200,"<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>Test Screenshot Modal</title>
    <!-- Bootstrap CSS -->
    <link rel=""stylesheet"" href=""https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css"">
</head>
<body>
    <!-- Button trigger modal -->
    <button type=""button"" class=""btn btn-primary"" data-toggle=""modal"" data-target=""#screenshotModal"">
        Open Screenshot Modal
    </button>

    <!-- Modal -->
    <div class=""modal fade"" id=""screenshotModal"" tabindex=""-1"" role=""dialog"" aria-labelledby=""screenshotModalLabel"" aria-hidden=""true"">
        <div class=""modal-dialog modal-lg"" role=""document"">
            <div class=""modal-content"">
                <div class=""modal-header"">
                    <h5 class=""modal-title"" id=""screenshotModalLabel"">Screenshot</h5>
                    <button type=""button"" class=""close"" data-dismiss=""modal"" aria-label=""Close"">
                        <span aria-hidden=""true"">&times;</span>
                    </button>
                </div>
                <div class=""modal-body"">
                    <!-- Placeholder for screenshot image -->
                    <img src=""https://via.placeholder.com/800x600"" alt=""Screenshot Image"" class=""img-fluid"" id=""screenshotImage"">
                </div>
            </div>
        </div>
    </div>

    <!-- Bootstrap JS and dependencies -->
    <script src=""https://code.jquery.com/jquery-3.5.1.slim.min.js""></script>
    <script src=""https://cdn.jsdelivr.net/npm/@popperjs/core@2.5.3/dist/umd/popper.min.js""></script>
    <script src=""https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js""></script>
</body>
</html>
"
2024-07-03 10:01:23,Toshiba,192.168.100.200,"def get_screenshot_logs():
    screenshots = []
    for root, dirs, files in os.walk(SCREENSHOT_DIR):
        for file in files:
            if file.endswith("".png"") or file.endswith("".jpg""):
                screenshot_path = os.path.join(root, file)
                username = os.path.basename(os.path.dirname(screenshot_path))
                screenshots.append({
                    ""username"": username,
                    ""image_path"": screenshot_path,
                    ""filename"": file,
                    # Add more details as needed
                })
    return screenshots"
2024-07-03 10:02:17,Toshiba,192.168.100.200,"def get_screenshot_logs():
    screenshots = []
    for root, dirs, files in os.walk(SCREENSHOT_DIR):
        for file in files:
            if file.endswith("".png"") or file.endswith("".jpg""):
                screenshot_path = os.path.join(root, file)
                username = os.path.basename(os.path.dirname(screenshot_path))
                screenshots.append({
                    ""username"": username,
                    ""image_path"": screenshot_path,
                    ""filename"": file,
                    # Add more details as needed
                })
    return screenshots

@app.route(""/screenshots"")
def screenshots():
    screenshots = get_screenshot_logs()
    return render_template(""screenshots.html"", screenshots=screenshots)"
2024-07-03 10:03:25,Toshiba,192.168.100.200,clipboard
2024-07-03 10:03:40,Toshiba,192.168.100.200,"<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>Screenshots</title>
    <!-- Bootstrap CSS -->
    <link rel=""stylesheet"" href=""https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css"">
    <!-- Custom CSS -->
    <link rel=""stylesheet"" href=""{{ url_for('static', filename='styles.css') }}"">
</head>
<body>
    <div class=""container"">
        <h1>Screenshots</h1>
        <div class=""row"">
            {% for screenshot in screenshots %}
            <div class=""col-md-4 mb-4"">
                <div class=""card"">
                    <img src=""{{ url_for('static', filename=screenshot.image_path) }}"" class=""card-img-top img-thumbnail"" alt=""{{ screenshot.filename }}"">
                    <div class=""card-body"">
                        <h5 class=""card-title"">{{ screenshot.username }}</h5>
                        <!-- Add more details as needed -->
                        <a href=""#"" class=""btn btn-primary"" data-toggle=""modal"" data-target=""#screenshotModal{{ loop.index }}"">View Details</a>
                    </div>
                </div>
            </div>

            <!-- Modal -->
            <div class=""modal fade"" id=""screenshotModal{{ loop.index }}"" tabindex=""-1"" role=""dialog"" aria-labelledby=""screenshotModalLabel{{ loop.index }}"" aria-hidden=""true"">
                <div class=""modal-dialog modal-lg"" role=""document"">
                    <div class=""modal-content"">
                        <div class=""modal-header"">
                            <h5 class=""modal-title"" id=""screenshotModalLabel{{ loop.index }}"">Screenshot Details</h5>
                            <button type=""button"" class=""close"" data-dismiss=""modal"" aria-label=""Close"">
                                <span aria-hidden=""true"">&times;</span>
                            </button>
                        </div>
                        <div class=""modal-body"">
                            <img src=""{{ url_for('static', filename=screenshot.image_path) }}"" class=""img-fluid"" alt=""{{ screenshot.filename }}"">
                            <h6>Username: {{ screenshot.username }}</h6>
                            <!-- Add more details here -->
                        </div>
                    </div>
                </div>
            </div>
            {% endfor %}
        </div>
    </div>

    <!-- Bootstrap JS and dependencies -->
    <script src=""https://code.jquery.com/jquery-3.5.1.slim.min.js""></script>
    <script src=""https://cdn.jsdelivr.net/npm/@popperjs/core@2.5.3/dist/umd/popper.min.js""></script>
    <script src=""https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js""></script>
</body>
</html>
"
2024-07-03 10:05:31,Toshiba,192.168.100.200,"<!DOCTYPE html>
<html lang=""en"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>Screenshots</title>
    <!-- Bootstrap CSS -->
    <link rel=""stylesheet"" href=""https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css"">
    <!-- Custom CSS -->
    <link rel=""stylesheet"" href=""{{ url_for('static', filename='styles.css') }}"">
</head>
<body>
    <div class=""container"">
        <h1>Screenshots</h1>
        <div class=""row"">
            {% for screenshot in screenshots %}
            <div class=""col-md-4 mb-4"">
                <div class=""card"">
                    <img src=""{{ url_for('static', filename=screenshot.image_path) }}"" class=""card-img-top img-thumbnail"" alt=""{{ screenshot.filename }}"">
                    <div class=""card-body"">
                        <h5 class=""card-title"">{{ screenshot.username }}</h5>
                        <!-- Add more details as needed -->
                        <button type=""button"" class=""btn btn-primary"" data-toggle=""modal"" data-target=""#screenshotModal{{ loop.index }}"">View Details</button>
                    </div>
                </div>
            </div>

            <!-- Modal -->
            <div class=""modal fade"" id=""screenshotModal{{ loop.index }}"" tabindex=""-1"" role=""dialog"" aria-labelledby=""screenshotModalLabel{{ loop.index }}"" aria-hidden=""true"">
                <div class=""modal-dialog modal-lg"" role=""document"">
                    <div class=""modal-content"">
                        <div class=""modal-header"">
                            <h5 class=""modal-title"" id=""screenshotModalLabel{{ loop.index }}"">Screenshot Details</h5>
                            <button type=""button"" class=""close"" data-dismiss=""modal"" aria-label=""Close"">
                                <span aria-hidden=""true"">&times;</span>
                            </button>
                        </div>
                        <div class=""modal-body"">
                            <img src=""{{ url_for('static', filename=screenshot.image_path) }}"" class=""img-fluid"" alt=""{{ screenshot.filename }}"">
                            <h6>Username: {{ screenshot.username }}</h6>
                            <!-- Add more details here -->
                        </div>
                    </div>
                </div>
            </div>
            {% endfor %}
        </div>
    </div>

    <!-- Bootstrap JS and dependencies -->
    <script src=""https://code.jquery.com/jquery-3.5.1.slim.min.js""></script>
    <script src=""https://cdn.jsdelivr.net/npm/@popperjs/core@2.5.3/dist/umd/popper.min.js""></script>
    <script src=""https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js""></script>
</body>
</html>
"
2024-07-03 10:08:08,Toshiba,192.168.100.200,"SCREENSHOT_DIR = ""./LoggedData""
"
2024-07-03 10:10:51,Toshiba,192.168.100.200,"
def get_screenshot_logs():
    screenshots = []
    for root, dirs, files in os.walk(SCREENSHOT_DIR):
        for file in files:
            if file.endswith("".png"") or file.endswith("".jpg""):
                screenshot_path = os.path.join(root, file)
                username = os.path.basename(os.path.dirname(screenshot_path))
                screenshots.append(
                    {
                        ""username"": username,
                        ""image_path"": screenshot_path,
                        ""filename"": file,
                        # Add more details as needed
                    }
                )
    return screenshots"
